,Timestamp,Instrument,Bid Price,Bid Volume,Ask Price,Ask Volume
0,11:43:08,ESX-FUTURE,3358.5,2032,3358.75,1441
1,11:43:08,SP-FUTURE,2912.25,1439,2912.5,130
2,11:43:09,SP-FUTURE,2912.5,1191,2912.75,378
3,11:43:09,ESX-FUTURE,3358.75,1571,3359.0,1902
4,11:43:10,ESX-FUTURE,3358.75,2697,3359.0,776
5,11:43:10,SP-FUTURE,2912.25,1249,2912.5,320
6,11:43:11,SP-FUTURE,2912.25,407,2912.5,1162
7,11:43:11,ESX-FUTURE,3358.75,2573,3359.0,900
8,11:43:12,ESX-FUTURE,3358.75,2577,3359.0,896
9,11:43:13,SP-FUTURE,2912.0,738,2912.25,831
10,11:43:14,ESX-FUTURE,3358.75,763,3359.0,2710
11,11:43:14,SP-FUTURE,2911.75,871,2912.0,698
12,11:43:15,SP-FUTURE,2911.75,438,2912.0,1131
13,11:43:16,ESX-FUTURE,3358.5,881,3358.75,2592
14,11:43:16,ESX-FUTURE,3358.25,1279,3358.5,2194
15,11:43:16,SP-FUTURE,2911.5,1032,2911.75,537
16,11:43:16,ESX-FUTURE,3358.0,3249,3358.25,224
17,11:43:17,SP-FUTURE,2911.5,1033,2911.75,536
18,11:43:17,ESX-FUTURE,3358.0,129,3358.25,3344
19,11:43:17,SP-FUTURE,2911.5,1007,2911.75,562
20,11:43:18,ESX-FUTURE,3356.25,2146,3356.5,1327
21,11:43:19,SP-FUTURE,2912.25,1099,2912.5,470
22,11:43:19,ESX-FUTURE,3356.25,2050,3356.5,1423
23,11:43:20,SP-FUTURE,2912.25,213,2912.5,1356
24,11:43:20,ESX-FUTURE,3356.25,848,3356.5,2625
25,11:43:20,ESX-FUTURE,3356.25,848,3356.5,2625
26,11:43:21,SP-FUTURE,2912.0,650,2912.25,919
27,11:43:21,SP-FUTURE,2911.75,301,2912.0,1268
28,11:43:22,ESX-FUTURE,3356.0,2764,3356.25,709
29,11:43:22,SP-FUTURE,2911.5,122,2911.75,1447
30,11:43:22,SP-FUTURE,2911.5,123,2911.75,1446
31,11:43:23,ESX-FUTURE,3356.0,2564,3356.25,909
32,11:43:23,SP-FUTURE,2911.5,1529,2911.75,40
33,11:43:24,ESX-FUTURE,3356.0,2568,3356.25,905
34,11:43:24,SP-FUTURE,2911.75,1304,2912.0,265
35,11:43:25,ESX-FUTURE,3356.0,2755,3356.25,718
36,11:43:25,SP-FUTURE,2911.75,769,2912.0,800
37,11:43:26,ESX-FUTURE,3356.0,3169,3356.25,304
38,11:43:26,SP-FUTURE,2911.75,1158,2912.0,411
39,11:43:27,ESX-FUTURE,3356.25,2826,3356.5,647
40,11:43:27,SP-FUTURE,2910.75,1021,2911.0,548
41,11:43:28,ESX-FUTURE,3355.25,2367,3355.5,1106
42,11:43:28,SP-FUTURE,2910.5,639,2910.75,930
43,11:43:29,ESX-FUTURE,3355.25,3466,3355.5,7
44,11:43:30,SP-FUTURE,2910.5,535,2910.75,1034
45,11:43:30,SP-FUTURE,2910.5,522,2910.75,1047
46,11:43:31,ESX-FUTURE,3355.75,387,3356.0,3086
47,11:43:32,SP-FUTURE,2910.5,1043,2910.75,526
48,11:43:32,ESX-FUTURE,3355.0,576,3355.25,2897
49,11:43:33,SP-FUTURE,2910.5,683,2910.75,886
50,11:43:33,ESX-FUTURE,3354.25,1456,3354.5,2017
51,11:43:33,SP-FUTURE,2910.25,1408,2910.5,161
52,11:43:34,SP-FUTURE,2910.25,1536,2910.5,33
53,11:43:34,ESX-FUTURE,3354.25,1505,3354.5,1968
54,11:43:35,SP-FUTURE,2910.5,1206,2910.75,363
55,11:43:36,ESX-FUTURE,3354.25,914,3354.5,2559
56,11:43:36,ESX-FUTURE,3354.25,138,3354.5,3335
57,11:43:37,SP-FUTURE,2910.5,1263,2910.75,306
58,11:43:37,ESX-FUTURE,3353.75,2980,3354.0,493
59,11:43:38,SP-FUTURE,2910.5,1552,2910.75,17
60,11:43:38,ESX-FUTURE,3353.75,2986,3354.0,487
61,11:43:39,SP-FUTURE,2910.75,455,2911.0,1114
62,11:43:39,ESX-FUTURE,3354.25,57,3354.5,3416
63,11:43:40,SP-FUTURE,2910.75,501,2911.0,1068
64,11:43:40,ESX-FUTURE,3354.0,609,3354.25,2864
65,11:43:41,SP-FUTURE,2910.5,1181,2910.75,388
66,11:43:41,ESX-FUTURE,3354.25,1996,3354.5,1477
67,11:43:42,SP-FUTURE,2911.25,605,2911.5,964
68,11:43:43,ESX-FUTURE,3354.0,3434,3354.25,39
69,11:43:43,ESX-FUTURE,3354.0,1790,3354.25,1683
70,11:43:44,SP-FUTURE,2911.25,1098,2911.5,471
71,11:43:45,SP-FUTURE,2911.5,287,2911.75,1282
72,11:43:46,ESX-FUTURE,3354.0,3078,3354.25,395
73,11:43:46,SP-FUTURE,2911.25,190,2911.5,1379
74,11:43:47,ESX-FUTURE,3354.0,2502,3354.25,971
75,11:43:48,SP-FUTURE,2911.5,213,2911.75,1356
76,11:43:48,ESX-FUTURE,3354.0,3054,3354.25,419
77,11:43:49,SP-FUTURE,2911.5,501,2911.75,1068
78,11:43:49,SP-FUTURE,2911.25,464,2911.5,1105
79,11:43:50,ESX-FUTURE,3354.25,1519,3354.5,1954
80,11:43:51,ESX-FUTURE,3354.25,1009,3354.5,2464
81,11:43:51,SP-FUTURE,2911.25,463,2911.5,1106
82,11:43:52,SP-FUTURE,2911.25,1186,2911.5,383
83,11:43:52,ESX-FUTURE,3354.25,963,3354.5,2510
84,11:43:53,ESX-FUTURE,3352.25,268,3352.5,3205
85,11:43:53,SP-FUTURE,2911.25,1185,2911.5,384
86,11:43:54,ESX-FUTURE,3352.25,2477,3352.5,996
87,11:43:54,ESX-FUTURE,3352.25,2480,3352.5,993
88,11:43:54,SP-FUTURE,2911.25,678,2911.5,891
89,11:43:55,ESX-FUTURE,3352.25,2181,3352.5,1292
90,11:43:56,ESX-FUTURE,3353.0,1166,3353.25,2307
91,11:43:56,ESX-FUTURE,3353.5,273,3353.75,3200
92,11:43:56,SP-FUTURE,2911.25,685,2911.5,884
93,11:43:57,SP-FUTURE,2911.25,518,2911.5,1051
94,11:43:58,ESX-FUTURE,3353.0,1733,3353.25,1740
95,11:43:58,SP-FUTURE,2911.5,117,2911.75,1452
96,11:43:59,SP-FUTURE,2910.75,520,2911.0,1049
97,11:43:59,SP-FUTURE,2911.25,677,2911.5,892
98,11:43:59,SP-FUTURE,2911.25,527,2911.5,1042
99,11:43:59,SP-FUTURE,2911.25,185,2911.5,1384
100,11:43:59,ESX-FUTURE,3353.0,2242,3353.25,1231
101,11:44:00,ESX-FUTURE,3353.75,1386,3354.0,2087
102,11:44:00,SP-FUTURE,2911.5,139,2911.75,1430
103,11:44:00,ESX-FUTURE,3353.75,1385,3354.0,2088
104,11:44:01,SP-FUTURE,2911.0,1033,2911.25,536
105,11:44:02,ESX-FUTURE,3353.75,1740,3354.0,1733
106,11:44:02,SP-FUTURE,2912.25,1195,2912.5,374
107,11:44:02,ESX-FUTURE,3353.75,2082,3354.0,1391
108,11:44:03,ESX-FUTURE,3353.75,2821,3354.0,652
109,11:44:03,SP-FUTURE,2912.25,1481,2912.5,88
110,11:44:04,ESX-FUTURE,3353.75,2404,3354.0,1069
111,11:44:04,SP-FUTURE,2912.25,1323,2912.5,246
112,11:44:05,SP-FUTURE,2912.25,881,2912.5,688
113,11:44:06,SP-FUTURE,2912.25,716,2912.5,853
114,11:44:06,ESX-FUTURE,3353.75,3221,3354.0,252
115,11:44:06,ESX-FUTURE,3354.0,853,3354.25,2620
116,11:44:07,SP-FUTURE,2911.75,1038,2912.0,531
117,11:44:09,SP-FUTURE,2912.0,158,2912.25,1411
118,11:44:09,ESX-FUTURE,3354.0,351,3354.25,3122
119,11:44:09,SP-FUTURE,2912.25,77,2912.5,1492
120,11:44:10,ESX-FUTURE,3354.0,534,3354.25,2939
121,11:44:10,SP-FUTURE,2912.5,28,2912.75,1541
122,11:44:11,SP-FUTURE,2912.25,553,2912.5,1016
123,11:44:11,ESX-FUTURE,3353.75,1655,3354.0,1818
124,11:44:12,SP-FUTURE,2912.25,771,2912.5,798
125,11:44:13,ESX-FUTURE,3353.5,1127,3353.75,2346
126,11:44:13,SP-FUTURE,2912.25,1122,2912.5,447
127,11:44:14,ESX-FUTURE,3353.25,2604,3353.5,869
128,11:44:14,ESX-FUTURE,3353.25,2605,3353.5,868
129,11:44:15,SP-FUTURE,2912.25,1226,2912.5,343
130,11:44:15,SP-FUTURE,2912.25,1219,2912.5,350
131,11:44:16,ESX-FUTURE,3353.25,1242,3353.5,2231
132,11:44:16,SP-FUTURE,2912.0,967,2912.25,602
133,11:44:17,ESX-FUTURE,3353.5,1424,3353.75,2049
134,11:44:17,ESX-FUTURE,3353.5,1536,3353.75,1937
135,11:44:18,SP-FUTURE,2912.0,1279,2912.25,290
136,11:44:19,ESX-FUTURE,3353.5,2009,3353.75,1464
137,11:44:19,SP-FUTURE,2911.75,1006,2912.0,563
138,11:44:20,SP-FUTURE,2911.75,1015,2912.0,554
139,11:44:21,ESX-FUTURE,3353.25,997,3353.5,2476
140,11:44:22,SP-FUTURE,2912.25,1454,2912.5,115
141,11:44:22,ESX-FUTURE,3353.25,1335,3353.5,2138
142,11:44:22,ESX-FUTURE,3353.25,1595,3353.5,1878
143,11:44:22,ESX-FUTURE,3353.25,1572,3353.5,1901
144,11:44:22,SP-FUTURE,2912.25,1320,2912.5,249
145,11:44:23,SP-FUTURE,2912.5,476,2912.75,1093
